orden_principal,experimento_principal,nombre_experimento,id_principal,nombre_original,exp_tag_original,rol,estado,usos,carpeta_original,observaciones
9,J,Decoder OWSM preliminar,J01_sanity_decoder_owsm,sanity,sanity_n2_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep15,prueba preliminar del decoder,completado,J,sanity_n2_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep15,
9,J,Decoder OWSM preliminar,J02_decoder_conv2d,base,base_n10_conv2d_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,prueba preliminar del decoder,fallido,J,base_n10_conv2d_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,
9,J,Decoder OWSM preliminar,J03_decoder_lr_diferenciada,lrdif,lrdif_n10_conv2d_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,prueba preliminar del decoder,fallido,J,lrdif_n10_conv2d_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,
9,J,Decoder OWSM preliminar,J04_decoder_frontend_lineal,linear,linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,prueba preliminar del decoder,completado,J,linear_n10_linear_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,
9,J,Decoder OWSM preliminar,J05_decoder_frontend_conv1d,conv1d,conv1d_n10_conv1d_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,prueba preliminar del decoder,completado,J,conv1d_n10_conv1d_unf1_lora1_lr0.001_els1_ctc0.3_bs16_ep30,
9,J,Decoder OWSM preliminar,J06_decoder_encoder_congelado,frozen,frozen_n10_conv2d_unf0_lora1_lr0.001_els1_ctc0.3_bs16_ep30,prueba preliminar del decoder,fallido,J,frozen_n10_conv2d_unf0_lora1_lr0.001_els1_ctc0.3_bs16_ep30,
9,J,Decoder OWSM preliminar,J07_decoder_atencion_puro,ctc00,ctc00_n10_conv2d_unf1_lora1_lr0.001_els1_ctc0_bs16_ep30,prueba preliminar del decoder,fallido,J,ctc00_n10_conv2d_unf1_lora1_lr0.001_els1_ctc0_bs16_ep30,
9,J,Decoder OWSM preliminar,J08_decoder_ctc_atencion,ctc05,ctc05_n10_conv2d_unf1_lora1_lr0.001_els1_ctc0.5_bs16_ep30,prueba preliminar del decoder,fallido,J,ctc05_n10_conv2d_unf1_lora1_lr0.001_els1_ctc0.5_bs16_ep30,
9,J,Decoder OWSM preliminar,J09_decoder_sin_capa_sesion,sinSesion,sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,prueba preliminar del decoder,completado,J,sinSesion_n10_linear_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,
9,J,Decoder OWSM preliminar,J10_decoder_con_capa_sesion,conSesion,conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,prueba preliminar del decoder,completado,J,conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,
