exp_tag,metodo,alpha,beta,cer,wer,n_trials,carpeta,modelo
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,greedy,,,0.2887007052545438,0.5713065403324045,1426,A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,I01 · A01
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,2-grama,1.0,3.0,0.2528726452914441,0.4074892976149061,1426,A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,I01 · A01
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,3-grama,1.0,3.0,0.2514418465793162,0.4050837886000001,1426,A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,I01 · A01
A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,oraculo,,,0.2622702673576777,0.4743833866451633,1426,A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,I01 · A01
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,greedy,,,0.359271956868695,0.6649838994664092,1426,D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,I02 · D01
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,2-grama,1.0,0.0,0.3339348067576425,0.5115002326185396,1426,D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,I02 · D01
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,3-grama,1.0,3.0,0.3282963369418271,0.5067621437496035,1426,D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,I02 · D01
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,oraculo,,,0.33628994278817,0.5889731329226825,1426,D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,I02 · D01
E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,greedy,,,0.6831326431366685,0.9837532467532468,150,E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,I03 · H02
E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,2-grama,1.0,1.5,0.6948727175159306,0.9127580567580568,150,E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,I03 · H02
E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,3-grama,0.6,0.0,0.6862735162247721,0.9136361231361232,150,E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,I03 · H02
E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,oraculo,,,0.6643033655865046,0.9497611832611832,150,E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,I03 · H02
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,greedy,,,0.2955342075659216,0.5685098214035595,1426,F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,I04 · F02
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,2-grama,1.0,0.0,0.2613034301512102,0.4159520778106291,1426,F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,I04 · F02
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,3-grama,1.0,1.5,0.2567520574528985,0.4084041734008733,1426,F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,I04 · F02
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,oraculo,,,0.2700464402880232,0.48004715620527,1426,F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,I04 · F02
H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,greedy,,,0.2672359265942138,0.5354338583022272,1426,H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,I05 · C02
H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,2-grama,1.0,0.0,0.2344086477984688,0.3931600661985944,1426,H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,I05 · C02
H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,3-grama,1.0,0.0,0.2339643236294995,0.3923362601153213,1426,H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,I05 · C02
H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,oraculo,,,0.2435683383661507,0.4420568786235811,1426,H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,I05 · C02
v4_n45_deepd512b2s2_ic0.3_augn0.8o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep100,greedy,,,0.5091946236078122,0.8052350039294185,1426,v4_n45_deepd512b2s2_ic0.3_augn0.8o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep100,I06 · P (v4)
v4_n45_deepd512b2s2_ic0.3_augn0.8o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep100,2-grama,0.6,3.0,0.5018949317562301,0.7087168767898493,1426,v4_n45_deepd512b2s2_ic0.3_augn0.8o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep100,I06 · P (v4)
v4_n45_deepd512b2s2_ic0.3_augn0.8o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep100,3-grama,0.6,3.0,0.5064575961712631,0.7180167984670501,1426,v4_n45_deepd512b2s2_ic0.3_augn0.8o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep100,I06 · P (v4)
v4_n45_deepd512b2s2_ic0.3_augn0.8o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep100,oraculo,,,0.4854909448476464,0.740966178446584,1426,v4_n45_deepd512b2s2_ic0.3_augn0.8o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep100,I06 · P (v4)
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,greedy,,,0.320446317972017,0.592450445721628,1426,v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,I07 · A04
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,2-grama,0.6,0.0,0.3049708517751112,0.475393437173612,1426,v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,I07 · A04
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,3-grama,0.6,1.5,0.3082321291382062,0.4875828528693391,1426,v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,I07 · A04
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,oraculo,,,0.2933265630603309,0.5031925697207021,1426,v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,I07 · A04
